,Chance of Admit 
0,0.6086797741615845
1,0.7358336978868442
2,0.7438405257115392
3,0.883015109997866
4,0.6852028331872947
5,0.6565663177110589
6,0.7820064166696116
7,0.7044797799125972
8,0.6640452794556033
9,0.5099064681334903
10,0.8256797591631738
11,0.9490164084131518
12,0.6062456440120938
13,0.7329997432738417
14,0.968145850170645
15,0.7609293757611002
16,0.8845141391197524
17,0.7643602088983824
18,0.502847100870958
19,0.5327207297898958
20,0.5314675495815381
21,0.636000662954405
22,0.4919127104249838
23,0.5910873840389043
24,0.8145621906975156
25,0.5927765943324125
26,0.7335296057860563
27,0.6096465124169492
28,0.9596546947755229
29,0.8942706672535304
30,0.8198455614206459
31,0.6034769974452607
32,0.690460744012831
33,0.791444660298998
34,0.7724609314756851
35,0.5570679632184051
36,0.5193079896155595
37,0.5753899934237312
38,0.6752055837002794
39,0.6187570581832936
40,0.7488765605506214
41,0.9471975488314225
42,0.6414146929144818
43,0.5781757984923973
44,0.6147665992960613
45,0.5603544848552018
46,0.994550872078804
47,0.7734481208696676
48,0.6384990123978312
49,0.804522763805847
50,0.5721205893496065
51,0.6782766347641639
52,0.8813830117250805
53,0.6325180709070422
54,0.817602390718372
55,0.5486968393251881
56,0.6207915961462284
57,0.6475213481636918
58,0.6155642041117021
59,0.8768386533885953
60,0.7114402049481087
61,0.8656421444182535
62,0.6881812036903402
63,0.834415259192514
64,0.6687026240406257
65,0.88231941089457
66,0.7536383069222294
67,0.9465010481087217
68,0.6273954318018943
69,0.6671989628205967
70,0.8372883662443055
71,0.8923227561064371
72,0.6862434052014386
73,0.658581349597304
74,0.7145503663493517
75,0.931882990475064
76,0.6856451215980152
77,0.7217685864639529
78,0.798885830962568
79,0.6641390526111755
80,0.8834973976369387
81,0.6572887723072569
82,0.5322057580887607
83,0.6722750747637377
84,0.9593253307952706
85,0.8596255714377157
86,0.6212405188885579
87,0.6441403144285427
88,0.7179087702676938
89,0.823329842256571
90,0.8253560364357544
91,0.8698209506457616
92,0.6855871054736649
93,0.8228897963696442
94,0.9461863657333954
95,0.9904575365324985
96,0.8888726023669355
97,0.8836148749565037
98,0.7633470307525994
99,0.5196480869539121
100,0.6544039016281762
101,0.9812820942320172
102,0.7710994167705258
103,0.5018544969232099
104,0.5241470291770302
105,0.9027566097913536
106,0.4904003551879362
107,0.6521085049422672
108,0.8327117754336707
109,0.5934678644183404
110,0.7689054134513112
111,0.8629160695944431
112,0.5293555532949978
113,0.7071747733026188
114,0.5862189555239001
115,0.5791767614229784
116,0.7588060706058493
117,0.49643132466612144
118,0.5788290477872348
119,0.9104299957612204
120,0.8773320844625238
121,0.5535824240808844
122,0.5792227931738054
123,0.8795169477921119
124,0.6861891356274481
125,0.8234609110819378
126,0.9386698375678415
127,0.672362528365944
128,0.5996507259154011
129,0.6885705632925364
130,0.658993839841016
131,0.5130328797664628
132,0.5113916383843541
133,0.611119923018776
134,0.829294431921793
135,0.854304864378637
136,0.6814886415085117
137,0.6097250018547473
138,0.7098966306090468
139,0.6115284990863786
140,0.8057451953908779
141,0.7803885311928094
142,0.6727403094913446
143,0.6389259406639002
144,0.6054565051675133
145,0.6769515734058239
146,0.8155151714739195
147,0.5099884175790929
148,0.8500970793117675
149,0.59145810661719
150,0.597723905478469
151,0.5207633971361622
152,0.7204433262231438
153,0.6435807905589895
154,0.7751425628411408
155,0.632726497559925
156,0.6881920578514416
157,0.6512353131808238
158,0.9157414987697396
159,0.7284513488604981
160,0.7742092942605749
161,0.9103445863078137
162,0.5562157571160599
163,0.8360997539770675
164,0.8136603518094245
165,0.8320293209753498
166,0.8723999514438739
167,0.68033123088779
168,0.6464840291613705
169,0.8270636598872427
170,0.7513267153305221
171,0.5782931707983165
172,0.6413419460841617
173,0.7166210910567029
174,0.7203107907023402
175,0.6104878866214091
176,0.576620955866619
177,0.5964137766951103
178,0.72778095852405
179,0.6857346291819407
180,0.5711374575925341
181,0.8016544761315411
182,0.8200290696667979
183,0.5591861588455833
184,0.9037451170064432
185,0.7055979316456066
186,0.6418612864007334
187,0.7419658284683202
188,0.5492781717093195
189,0.736441246819592
190,0.8094662652365835
191,0.8626275245077185
192,0.572393893106547
193,0.7814939992017855
194,0.7527486984484222
195,0.647363915674632
196,0.7923095526719537
197,0.7292675917603807
198,0.7705142749711865
199,0.7623196578430514
200,0.5925438063295025
201,0.9331467377626629
202,0.7416948345373787
203,0.8261681843248155
204,0.7272978498354935
205,0.8068749261909568
206,0.4939892212255517
207,0.6116707096247644
208,0.5333307719637475
209,0.9295805447748475
210,0.7003144435428856
211,0.6834988374203297
212,0.651909816846872
213,0.5391617981646384
214,0.6933689871431912
215,0.641713680650275
216,0.6486551175700525
217,0.7724492774170155
218,0.4190210288106722
219,0.9275664206703709
220,0.8368185808887424
221,0.820691814274083
222,0.7338398586047098
223,0.8006577316325921
224,0.9914621903125624
225,0.8284909760751699
226,0.9067897437508354
227,0.5762498821455408
228,0.7680666555338204
229,0.7808391624777561
230,0.782331272981894
231,0.7758528036199969
232,0.909004039229534
233,0.5473104273277966
234,0.8127082788147888
235,0.7952799120134866
236,0.7095653663402464
237,0.42973877276184963
238,0.8788641490248558
239,0.5970496860101744
240,0.7857685137891344
241,0.6523048606618875
242,0.9471707767415788
243,0.7883590478429149
244,0.7106714135379739
245,0.7586695018413238
246,0.7133129830120052
247,0.5993017138512124
248,0.83390096688966
249,0.7144800543654769
250,0.6657452840293081
251,0.9718051936259906
252,0.8154093513327209
253,0.7928009424302196
254,0.6464451483188
255,0.7617564293227935
256,0.8439817721469695
257,0.6374783353852169
258,0.5645664133111341
259,0.9630516916605415
260,0.6899157214189812
261,0.9051518590473044
262,0.7007417189225259
263,0.6111352651312086
264,0.7184882458490156
265,0.5465608490106272
266,0.45767619148435845
267,0.7259254408559358
268,0.8199322269145075
269,0.8550019835583827
270,0.8269279348435523
271,0.6879131926748017
272,0.6560986141355364
273,0.8435197707655161
274,0.8165260844245574
275,0.9556434142651868
276,0.6646386184255048
277,0.6215270212107905
278,0.5778847615998459
279,0.524249162648774
280,0.6494250001260911
281,0.6299814124081341
282,0.9340482896198633
283,0.6068969609358004
284,0.6353429234008512
285,0.7073988737806483
286,0.5840517818816012
287,0.8500943413767937
288,0.6034137476492243
289,0.5531461695769468
290,0.6771196170839517
291,0.9547285150057816
292,0.6627618643674298
293,0.8511322965646647
294,0.4728075729697502
295,0.743525331580836
296,0.8615154038483549
297,0.4755296735347708
298,0.6870384563557667
299,0.5911000508794361
300,0.7102295155383398
301,0.6038052112437081
302,0.6394420038484679
303,0.6792895258280872
304,0.5357899690193533
305,0.47134899193292984
306,0.7288975519866322
307,0.6608849872770421
308,0.5760767137402583
309,0.8497125393736162
310,0.6869820827894884
311,0.8549450378165186
312,0.7744772019978563
313,1.0013411791793863
314,0.7626724206376281
315,0.6421948936894166
316,0.8251994487788308
317,0.7838985769384686
318,0.6742081995923703
319,0.7956711461131823
320,0.7692254890641287
321,0.7470949393553281
322,0.5267005125278932
323,0.6307109308292228
324,0.807504532549597
325,0.9660595555914625
326,0.5496940391220196
327,0.6365498898411371
328,0.7712785586623823
329,0.5076492091163748
330,0.7777964700743515
331,0.7014687416069026
332,0.6353759394621867
333,0.7435641511956106
334,0.7445456154001961
335,0.7860896201786158
336,0.6115217860157823
337,0.9249316675587456
338,0.6295693769094483
339,0.9118077589627203
340,0.8567663878571842
341,0.9424781913644535
342,0.8459337828734103
343,0.6300663910370456
344,0.9624555535278707
345,0.6546459015716439
346,0.6233538739727827
347,0.9209498998553949
348,0.6623643677247191
349,0.6223933350580558
350,0.8074698708952763
351,0.7321410502415243
352,0.7220495545215797
353,0.6193285239874108
354,0.8667009023894221
355,0.5531540170399931
356,0.6515556334365415
357,0.6395284435575117
358,0.5291350970984335
359,0.6845975688288023
360,0.5786436043368147
361,0.44771945409237285
362,0.6164296116124761
363,0.5439076217997858
364,0.7401412268001398
365,0.6481267984667123
366,0.6974798092450426
367,0.7478452156761166
368,0.9020048100648891
369,0.5517381714956309
370,0.6865522360064782
371,0.73523677501827
372,0.7921034297706601
373,0.906180938777633
374,0.968026846663236
375,0.7128766667409673
376,0.9309816652795141
377,0.7706167839414945
378,0.8108343064775375
379,0.4378149463939924
380,0.9087510220167723
381,0.7106736787331193
382,0.7846996010583432
383,0.6189804168718537
384,0.8242514733754095
385,0.8729259444108326
386,0.848066641773184
387,0.614641789641268
388,0.7894912294961075
389,0.742934031144429
390,0.645296096578973
391,0.6320740905880629
392,0.8120569647242196
393,0.7069740301277565
394,0.8566274294673405
395,0.8536239936952321
396,0.6292364313243557
397,0.5662958807139478
398,0.6497906106806954
399,0.7823837919492536
400,0.7876072481164504
401,0.6996847307353224
402,0.6487435519893237
403,0.5668865435533923
404,0.846708485144463
405,0.9123442120206933
406,0.6852282455699287
407,0.7791348555732714
408,0.8564776175066688
409,0.8835576393506119
410,0.6354740534540135
411,0.6410111191184422
412,0.5770818629315027
413,0.48757880202482545
414,0.5317889430528793
415,0.7711314680397423
416,0.8803719951586567
417,0.4687269239806146
418,0.5054693516990735
419,0.7025692064857598
420,0.9358920270772985
421,0.7607235413259743
422,0.775878216002631
423,0.6731098358726632
424,0.8538480941732611
425,0.7898923693225346
426,0.8303045418551658
427,0.5022442652043013
428,0.8439385833447618
429,0.6427494908557283
430,0.7088986489094485
431,0.6811304838393915
432,0.6650918659974203
433,0.6564926055493153
434,0.6170519316646025
435,0.6519479604684992
436,0.9499468160638485
437,0.7094804509137118
438,0.8980910279224722
439,0.6330924815911452
440,0.46156099478741414
441,0.8590174461493538
442,0.6515376123740675
443,0.47960856908413807
444,0.8431007332090391
445,0.6035269015744804
446,0.7170170611740404
447,0.7859335024283831
448,0.9549376025036993
449,0.7165382947705679
